trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9832000000000019}",20,0,-82.14660864585265,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.1, 'e': 0.9828000000000019}",25,0,-153.14139214933465,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.9824000000000019}",20,0,-89.29478839516769,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.982000000000002}",25,0,-112.7420438693524,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.981600000000002}",20,0,-70.38094031283964,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.9812000000000021}",20,0,-60.385761495708444,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.9808000000000021}",20,0,-146.2497970415953,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
49,False,"{'a': 0.1, 'e': 0.9804000000000022}",25,0,-202.25405159576167,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
50,False,"{'a': 0.1, 'e': 0.9800000000000022}",20,0,-95.98860214903664,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.9796000000000022}",20,0,-119.46470600061055,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.9792000000000023}",20,0,-77.40516196369153,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.9788000000000023}",20,0,-49.9560208261802,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.9784000000000024}",30,0,-127.24417039504728,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.1, 'e': 0.9780000000000024}",20,0,-114.71057412109842,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.9776000000000025}",20,0,-104.44385562231346,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.9772000000000025}",20,0,-142.56570400995375,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.1, 'e': 0.9768000000000026}",20,0,-107.70691968500381,"{0: 7, 1: 4, 2: 8, 3: 1, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.9764000000000026}",35,0,-212.27580737801497,"{0: 21, 1: 5, 2: 5, 3: 0, 4: 4}",0
60,False,"{'a': 0.1, 'e': 0.9760000000000026}",20,0,-73.65608486975509,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.9756000000000027}",20,0,-81.91811289422085,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9752000000000027}",20,0,-72.15871445484521,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
63,False,"{'a': 0.1, 'e': 0.9748000000000028}",25,0,-177.82564356411422,"{0: 10, 1: 1, 2: 10, 3: 4, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.9744000000000028}",20,0,-75.39702505967044,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.9740000000000029}",25,0,-139.4483717990722,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.1, 'e': 0.9736000000000029}",25,0,-113.74940269764134,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.1, 'e': 0.973200000000003}",20,0,-102.05975176813386,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.972800000000003}",30,0,-115.92025879213465,"{0: 19, 1: 1, 2: 7, 3: 3, 4: 0}",0
69,False,"{'a': 0.1, 'e': 0.972400000000003}",30,0,-269.96208113928896,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 5}",0
70,False,"{'a': 0.1, 'e': 0.9720000000000031}",20,0,-55.675159595507495,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.9716000000000031}",30,0,-73.2167973116747,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.9712000000000032}",20,0,-70.1631947691708,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.9708000000000032}",20,0,-227.33328589284883,"{0: 7, 1: 3, 2: 6, 3: 0, 4: 4}",0
74,False,"{'a': 0.1, 'e': 0.9704000000000033}",30,0,-131.88554697846345,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
75,False,"{'a': 0.1, 'e': 0.9700000000000033}",30,0,-137.6093290248551,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
76,False,"{'a': 0.1, 'e': 0.9696000000000033}",20,0,-281.7385464962453,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 6}",0
77,False,"{'a': 0.1, 'e': 0.9692000000000034}",20,0,-62.86188468211896,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.9688000000000034}",25,0,-23.677912702598825,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.9684000000000035}",30,0,-170.87691893705681,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
80,False,"{'a': 0.1, 'e': 0.9680000000000035}",35,0,-162.46116037137543,"{0: 22, 1: 3, 2: 5, 3: 4, 4: 1}",0
81,False,"{'a': 0.1, 'e': 0.9676000000000036}",20,0,-158.181787804577,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.1, 'e': 0.9672000000000036}",25,8,12.147604546405876,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.9668000000000037}",20,0,-119.11706812972008,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.9664000000000037}",25,0,-131.08405416266632,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
85,False,"{'a': 0.1, 'e': 0.9660000000000037}",20,0,-119.43229390491634,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
86,False,"{'a': 0.1, 'e': 0.9656000000000038}",20,0,-108.46985024439464,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.9652000000000038}",20,0,-101.23529022886841,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.9648000000000039}",25,0,-118.82084980740945,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
89,False,"{'a': 0.1, 'e': 0.9644000000000039}",25,16,6.018096834233917,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.964000000000004}",25,0,-13.801185418943906,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.963600000000004}",30,21,-41.46346869954147,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.1, 'e': 0.963200000000004}",20,0,-120.57095825427669,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
93,False,"{'a': 0.1, 'e': 0.9628000000000041}",25,0,-54.834656105541185,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.9624000000000041}",30,0,-197.91272822331078,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
95,False,"{'a': 0.1, 'e': 0.9620000000000042}",20,0,-51.412641551227374,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
96,False,"{'a': 0.1, 'e': 0.9616000000000042}",20,0,-79.63952374989853,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
97,False,"{'a': 0.1, 'e': 0.9612000000000043}",20,0,-122.2556306922807,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
98,False,"{'a': 0.1, 'e': 0.9608000000000043}",30,12,-59.910278684471336,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.1, 'e': 0.9604000000000044}",30,0,-133.05662131229957,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
100,False,"{'a': 0.1, 'e': 0.9600000000000044}",25,0,-96.34910839001593,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.1, 'e': 0.9596000000000044}",20,0,-77.98246634297443,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.1, 'e': 0.9592000000000045}",30,0,-203.30878811347822,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",0
103,False,"{'a': 0.1, 'e': 0.9588000000000045}",20,0,-159.13334390158087,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
104,False,"{'a': 0.1, 'e': 0.9584000000000046}",20,0,-97.07887662777358,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
105,False,"{'a': 0.1, 'e': 0.9580000000000046}",30,1,-197.5629333636463,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 3}",1
106,False,"{'a': 0.1, 'e': 0.9576000000000047}",25,0,-166.37404184361455,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
107,False,"{'a': 0.1, 'e': 0.9572000000000047}",20,0,-148.52186210109022,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
108,False,"{'a': 0.1, 'e': 0.9568000000000048}",20,0,-157.40966600873378,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
