"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Matt Shoemaker","Angels","6","3","0","14","14","77.2","8.00","3.24","1.74",".276","76.2 %","38.5 %","14.6 %","4.52","5.11","4.99","0.2","4776"
"Lance Lynn","Cardinals","5","4","0","14","14","78.1","8.73","3.68","1.84",".218","85.8 %","42.4 %","18.8 %","3.33","5.31","4.61","0.1","2520"
"Jordan Zimmermann","Tigers","5","5","0","14","14","82.1","6.01","2.73","1.97",".303","73.6 %","33.2 %","15.7 %","5.25","5.66","5.34","0.1","4505"
"Matt Cain","Giants","3","7","0","15","15","78.0","5.42","3.69","1.38",".340","71.1 %","43.1 %","12.9 %","5.54","5.16","5.31","0.1","4732"
"Derek Holland","White Sox","5","7","0","14","14","76.1","7.55","3.77","1.89",".305","72.8 %","39.1 %","16.8 %","4.48","5.60","5.12","0.1","4141"
"Jeremy Hellickson","Phillies","5","5","0","15","15","84.0","4.07","2.68","1.71",".250","74.8 %","35.5 %","13.1 %","4.61","5.82","5.96","0.1","4371"
"John Lackey","Cubs","5","8","0","15","15","87.1","8.35","2.89","2.16",".269","77.0 %","44.1 %","21.9 %","4.74","5.54","4.40","0.0","1507"
"Jesse Chavez","Angels","5","6","0","15","15","84.2","6.59","2.76","1.91",".278","75.7 %","41.4 %","18.2 %","4.89","5.43","4.77","-0.1","5448"
"R.A. Dickey","Braves","5","5","0","14","14","84.1","5.55","3.74","1.60",".271","71.0 %","48.7 %","16.5 %","4.91","5.71","5.34","-0.1","1245"
"Julio Teheran","Braves","6","5","0","15","15","87.0","6.10","3.31","1.76",".273","72.1 %","38.7 %","14.9 %","4.76","5.56","5.38","-0.1","6797"
"Mike Fiers","Astros","5","2","0","14","14","78.0","7.73","3.23","2.08",".267","85.8 %","50.4 %","23.7 %","3.81","5.65","4.41","-0.2","7754"
"Matt Harvey","Mets","4","3","0","13","13","70.1","6.91","4.48","2.05",".252","76.3 %","45.3 %","22.2 %","5.25","6.18","5.07","-0.4","11713"
"Ricky Nolasco","Angels","2","9","0","15","15","84.1","7.58","2.67","2.45",".305","80.8 %","40.3 %","21.5 %","5.23","5.96","4.70","-0.5","3830"
"Bronson Arroyo","Reds","3","6","0","14","14","71.0","5.70","2.41","2.92",".305","67.6 %","30.4 %","19.0 %","7.35","6.97","5.83","-0.7","978"
