trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.1, 'e': 0.5699999999999996}",25,0,-57.78461882217108,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.5599999999999996}",30,0,-108.68271128247571,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,-88.60794477907808,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.5399999999999996}",25,0,-96.26589418104474,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.5299999999999996}",20,0,-133.7986279633932,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
48,False,"{'a': 0.1, 'e': 0.5199999999999996}",30,0,-98.34671821865687,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.5099999999999996}",25,0,-33.45617516911901,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.49999999999999956}",20,0,-32.142387182599066,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.48999999999999955}",20,0,-34.802720916021684,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.47999999999999954}",20,0,-160.49627980624953,"{0: 10, 1: 4, 2: 1, 3: 3, 4: 2}",0
53,False,"{'a': 0.1, 'e': 0.46999999999999953}",20,0,-57.432863401084155,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.4599999999999995}",25,0,-160.79062516521577,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
55,False,"{'a': 0.1, 'e': 0.4499999999999995}",30,11,-11.001188568933552,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.4399999999999995}",20,9,15.926964817875117,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.4299999999999995}",20,9,-43.14724563701989,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
58,False,"{'a': 0.1, 'e': 0.4199999999999995}",20,12,15.956396129524016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.4099999999999995}",25,0,-90.31470906300423,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.1, 'e': 0.39999999999999947}",25,13,15.269625449837195,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.38999999999999946}",20,0,-87.55943783125262,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
62,False,"{'a': 0.1, 'e': 0.37999999999999945}",20,0,4.1515786242768815,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.1, 'e': 0.36999999999999944}",25,0,-8.510234744626034,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.35999999999999943}",30,0,13.257549357413861,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.3499999999999994}",20,0,6.171121736067837,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.1, 'e': 0.3399999999999994}",35,0,-85.22785493970568,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 3}",0
67,False,"{'a': 0.1, 'e': 0.3299999999999994}",20,0,-15.546260380724991,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.3199999999999994}",20,14,6.146796282297635,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.3099999999999994}",20,0,-6.8505375253428,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.2999999999999994}",20,0,-0.10200607627677394,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.28999999999999937}",25,2,25.14871338692803,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.27999999999999936}",35,13,-38.36375810747916,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1
73,False,"{'a': 0.1, 'e': 0.26999999999999935}",20,12,13.101239628349187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
