trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9790000000000023}",30,0,-194.69509165154943,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
43,False,"{'a': 0.1, 'e': 0.9785000000000024}",30,0,-196.28296407948056,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.9780000000000024}",25,0,-153.62843141133322,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.9775000000000025}",20,0,-106.4211633963334,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.1, 'e': 0.9770000000000025}",35,16,-35.83722422317499,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.9765000000000026}",20,0,-113.4723294574096,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.9760000000000026}",20,0,-146.2497674810318,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
49,False,"{'a': 0.1, 'e': 0.9755000000000027}",25,0,-118.82981617158498,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.9750000000000028}",25,0,-69.84760703778736,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.9745000000000028}",25,0,-160.9073213746426,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.9740000000000029}",30,0,-89.54269346955937,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.9735000000000029}",25,0,-162.31153668410045,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
54,False,"{'a': 0.1, 'e': 0.973000000000003}",25,8,-36.24136301866338,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.972500000000003}",30,0,-137.36846642753665,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.9720000000000031}",25,0,-154.63010949769574,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.9715000000000031}",20,0,-77.83855026324109,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.9710000000000032}",20,0,-146.80411651898925,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
59,False,"{'a': 0.1, 'e': 0.9705000000000032}",20,11,2.71867971179444,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.9700000000000033}",30,0,-82.86126420970244,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.1, 'e': 0.9695000000000034}",20,0,-88.77716076863761,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
62,False,"{'a': 0.1, 'e': 0.9690000000000034}",25,2,-148.55388529855696,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 2}",1
63,False,"{'a': 0.1, 'e': 0.9685000000000035}",20,0,-172.170100118446,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
64,False,"{'a': 0.1, 'e': 0.9680000000000035}",20,0,-155.3738738711802,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
65,False,"{'a': 0.1, 'e': 0.9675000000000036}",20,0,-191.8397547298402,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 3}",0
66,False,"{'a': 0.1, 'e': 0.9670000000000036}",30,0,-134.2407144536369,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
